sentiment,text,substring,status
negative,@ Silent _ deserts @ TarekFatah Ye nangay b khailen tab b nahi jeetain gay Inki niyat hi nahi Selection hi sahi nahi … https // t co / bdcymbH2DK,,
neutral,@ Mini _ lama _ 2 @ maverickneha1 Hahaha isne mera dil churaya h,,
negative,@ SHABAZGIL @ asif _ na88 Ns ka nazria hi vote ko izat do mgr jaly Dr ye tery smjh m nahi aega . Ab ye corruption ka j … https // t . co / bQmyXe2cfU,,
neutral,@ sadanandsinghcp @ INCIndia Mujhe samajh Nahi aata jab hum karyakarta unke netritva par vishwash rakhte Hain to vipa … https // t . co / GQtmwMqy8N,,
positive,@ d _ SHADOWofDEATH @ igot10on10 Chal Saale Lund Fakeer Ke ! Dimag Mat Khaa Aur Doctor Se Check Krva Pishwaade Mai Ka … https // t . co / 5Ozo3n9CdA,,
neutral,@ Hammad _ Chloride Marzi H Gr K Pass Paisy Lagaingy Yahn Free M mil Jna Tjhy,,
negative,@ zoo _ bear BJP chutiya banaya hai desh ko logo Ko aur vote Ka pehele army Ko lekr politics Kiya vote Pana Ka liya,,
negative,@ TechnicalGuruji ho ek naya phone diijiye na Samsung s10 mera pass nhi hai garib admi hai dur yaar laura,,
negative,@ Hussain _ NSharif Oyee gonglo corrupt insan maa k janazay par nahi aya baap ko jail karwa di louta hoa paisa wapis … https // t co / lI6OvIUFDE,,
positive,Pahale is desh se Jativad khatm karo Aarakshan khud b khud khatm ho jaega . Lekin wo tum logo se hoga nhi https // t . co / 2pDKPdXB7Q,,
positive,Ye Baath bilkul sach saabith huyi sister 😂😂👍👍👌👌🌷🌷🚩 Excellent Tweet 👌👍🌷🚩🙏🚩 https // t co / nXIy56nfyG,,
positive,# PledgeAgainstCorruption @ Gurmeetramrahim Good morning guru g bless us and give us power to do more and more Sewa … https // t co / WM9If6btF2,,
neutral,Mohobbat ka kissa sabhi ka thha hissa Thhi chaandi ki gudiyathha soney ka gudda ... Nazar lagg gayi iss dosti ko .… https // t . co / l24EZtMb8q,,
negative,@ News18UP Abe kuch to sharm karo @ News18UP tumhre jaise baklol ke hisab se security naam ki kou chiz hi nahi hai … https // t . co / opRj8RRBJv,,
positive,# AmazingArt by krane _ awtz ! Thank you for this creative expression !🙌🏾💙🙌🏾 https // t . co / T7ITLt9IZx,,
neutral,RT @ CHANBAEK _ FAMILY 📍 Location 3 - Kahe Point . 💸 Free 💬 ไม่แน่ใจว่ามีรถสาธารณะมั้ย ค่อนข้างไกลจากในเมืองพอควรค่ะ แต่สวยและลมแรงมากกก https …,,
neutral,@ aajtak Jit ho gyi but iske sath jo kuch difficulties face krni paD rhi heiN unke baare meN bhi btaiye Formality hi kar dijiye,,
positive,@ PiyushGoyalOffc train no . 22846 delayed by 9 hours . Passengers pareshan hai koi suvida nahi @ hatiarailway station pe ..,,
positive,@ sunilbansalbjp sir Aap ki Kadi mehanat say Ye Mukaam Pradesh or Desh ko mila hai pranaam hai aapko Rajeev Mishra Maharaj BJP Uttar Pradesh,,
negative,RT @ Sahir _ Dhoom PRK 208 india bhikaari level aur 26M overseas chillar highest vaala fake star Bahut jhooth spread kiye isne pre socia …,,
negative,@ SPatel _ Indian @ Mushir95770465 Ye insan h hi nhi to inse umid bhi insano wali nhi ker sakte ...,,
positive,RT @ SwerveRique ✅7.3 GPA ✅ 7 trillion in scholarships ✅ accepted into every school in the world ✅ PERFECT ATTENDANCE ✅ was the principal …,,
positive,bahut badiya ! good night # askdeepti https // t co / Qm31H1IAmA,,
neutral,Have you ever had a surprise party ? — Nhi ye chonchaly nhi krty meri circle k log https // t . co / mh18RlOXiJ,,
neutral,"RT @ lbi _ london Join us tomorrow for the opening night of our new exhibition "" Networks of Knowledge "" showcasing the institute ’ s Library and …",,
positive,@ nytimesworld # Her Ş ey Ç okG ü zelOlacak # everythingisgoingtobealright best country in the world 🌍🌈✈️ @ kub _ avc https // t co / c2vlSN31fR,,
neutral,@ anubhav _ sachdev @ TheNymphoTweets @ relatixns Try karne wala mile koi sath ... main to mars pe bhi jaake karne ko ready ho jaun,,
neutral,@ nadirabahari @ dr _ chaku @ khairul _ hafidz No shit sherlock,,
neutral,RT @ aliabbaszafar Har jagah ... madam sir ... https // t . co / 40Nl5SM2aB,,
positive,@ ImranKhanPTI Ghabrana Nahi 1992 World Cup mein bhe West Indies ne toss jeet kar Pakistan ko batting karwai thee # CWC2019 # PAKvWI,,
positive,@ narendramodi PM Modi ji Aapke Haath Mein Woh power hai hi ki do ghante Mein Naksha change kar sakte hain aap Hamar … https // t . co / sGGYGK8Cif,,
neutral,@ MrsAnjumara jaise log jab jab Nawaz Sharif k paas se guzarte thay to WO naak band ker leta tha ... Is bechari ko to … https // t . co / OLDHpliCzE,,
positive,Feliz cumplea ñ os ! Happy birthday to you my life # mywife # menukasimkhada # mylife # youarethebest # birthday # happy … https // t co / gAFXR7pCt4,,
neutral,@ sevennty42 Ya galb elsemeya I love you more walla ❤️❤️❤️,,
positive,RT @ vichar _ swadeshi Long overdue Better late than never An excellent choice by Shree # Modi # NarendraModi @ narendramodi ji Congratulatio …,,
neutral,@ hardikpandya7 best wishes for world cup and Eid Mubarak to you from MUZAFFAR Hasan National general secretary LJP … https // t co / 6Uyv3orrUX,,
neutral,Hum labon se keh na paaye un se haale dil kabhi aur wo smjhe nahi ye khamoshi kya cheez hai https // t . co / 5nIWW9KRFH,,
positive,Kuch seekho ... ye attitude chaiyai agar world cup jeetna hay https // t . co / v2of5CS5xJ,,
neutral,@ MaryamNSharif Ek baat kaho baji na laayak hai k chor hai ? Agar na layak hai to chor nae ho sakta or agar chor ha … https // t . co / 9bxULD25vY,,
neutral,@ TheUmarHussain Woi main soch rhi thi k abi kuch din phly to ap kch or bol ry thy 😁 to itni jldi kesy hogy 😁,,
negative,@ fawadchaudhry Uski fikr chor k jo apky mulk mei choti bachio k rape ho ry hen uska koi qanoon bnae shame on you,,
neutral,Ghoonghroo Seth Good joke Aur Juth mat boliye Sir ab sahan Nahi hota https // t co / ftukEipEXz,,
neutral,Rahul gandhi ke suporter ke jaisa . 70 saal me bhi sidha nahi hua 😂😂😂 https // t . co / BDk8kW2OQw,,
neutral,RSS manei BJP BJP manei RSS RSS manei BJP BJP maneI AGP AGP manei BJP BJP manei AGP AGP manei AASU AASU manei AGP A … https // t . co / mUcfuBgD4p,,
negative,@ SAMBIT _ PATRAg @ yadavakhilesh @ dimpleyadav Patra Ji sab Yadav ko mt jodna OK ye Yadav the but ab ni h ab molana mulaym hogay to samjlo,,
negative,@ saurabh32796567 @ ashutosh83B Chud be sale . Kahan se start hua ye dekh . Pehle ashutosh ne sardana ko to kuchh nah … https // t . co / eMN8mw3syR,,
neutral,@ ifOnlyKewal Jiske naam pe filme chlti thi na wo usse desh nhi chla wps industry chla gya aur ab industry me bhi nh … https // t . co / XEfzk6f0nO,,
negative,@ navedelmisterio Joo se me cae la baba de escucharle . En el buen sentido jajajaja . Como se llama el sitio ?,,
positive,@ ManzoorSindhi2 Manzoor miyan Thank you very much for RT & liking my poetry your appreciation boosts my zeal & mo … https // t . co / UfUZUuTlQK,,
neutral,goodmnight y'all <3 i love y'all esp exo & nct + happy third bday to isko ! exo,,
positive,very soon wants to about a new flim from SHAHRUKH KHAN ALL MY PRAYERS R WITH HIM GOD BLESS HIM .,,
positive,@ rozsharma Rohit bhaiiiii !! The way u keep India's side on every Friday in the Pakistani media It's praiseworthy 👍👍 keep it up 😊😊😊,,
positive,RT @ mmpadellan What the polls WON'T tell you is that Elizabeth Warren is quietly running the BEST campaign with the most EXCITING ideas l …,,
neutral,Free traffic jam hehehe long holiday Eid Mubarak https // t . co / QuxxAqKbAp,,
neutral,Jab haar ka malum pad jata h tab # EVM ka topic uthalete hai wow well done yah question BJP ne kyu nahi uthaya Vi … https // tco / qNG1335DTZ,,
positive,So good I had to share ! Check out all the items I'm loving on @ Poshmarkapp # poshmark # fashion # style # shopmycloset … https // t . co / 9IbZn5vIGK,,
negative,@ ModiLeDubega @ VazeIndian Yes of course . But subse zada humare desh ki janta jimmedar hain jo ki ek dhongi ko vote diya hain .,,
negative,Tussi day lo advice !! In ki game he nahi niyyatain bhe kharab hain . @ TheRealPCB https // t . co / obkDM6GCkI,,
positive,Mashallah aaj pakistani team ne batting bohat a6i ki aur 349 ka target diya bowling to wese bhi pakistan ki bohat mazboot hai dua kare,,
positive,RT @ ayushmannk Chan kithan by Ataullah Khan is amazing And Chan Kithan by Ali Sethi is beyond awesome The video gives you the feels t …,,
negative,Baba Ramdeo kuchh neta ki tarah mausham vaigyanik ho gaye hain Save as jyada kala dhan to unhi ke pas hoga We apn … https // t co / 2hLdcCDTBx,,
neutral,@ hardikpandya7 @ GulfOilIndia Bleed Blue # CheerWithPride Jeetega bhai Jeetega India Jeetega Jeet Hamari Hai,,
neutral,@ advocate _ Rd @ BJP4India Ye world cup nahi hai ki jeet gaya kaam khatma ar jasna manaaye ar na hi ye congress party hai .,,
positive,@ DrSJaishankar @ SushmaSwaraj Congratulations Sir ji ....... lots of love from INDIA . We are with you . Mere Guruji Shr … https // t . co / yOGELMCttR,,
positive,RT @ FbiObianuju Hooo mai Gard ! See Spec 😍 Happy 18th birthday baby boy ! May God bless you real Good . https // t . co / y7oJEqF44W,,
positive,@ sonakshisinha We love you as you are . Continue to inspire people and always remember that we will always be here f … https // t . co / IcEnPoV3Ay,,
positive,@ Abbaskhaplu @ ImtiazAlamSAFMA Ye randi wazir nahi ho skte aur agr hay b saye to ye zar taj gul k tarah bn choky hay … https // t co / AX2a15bSwt,,
negative,Why tf is no one thinking of Arsal !!! Munda ghar se ghayab hai aur kisi ko koi fikar nahi 😳🙄 # SunoChanda # SunoChanda2,,
positive,@ SarfarazA _ 54 we are still with you Lets forget it and do your best 💖 Tum jeeto ya haro hamain tumse pyar hai 🇵🇰👍… https // t . co / DDgbIQ66Z1,,
positive,Happpy muhhhh fuhhh ’ n birthday @ Sydneyymariee _ ! You already know ‘ 🏁! Be safe have fun ! More life,,
positive,@ DesiStupides @ dhruv _ rathee Jai Hind . Jai Shri Ram 🙏 Or sun Jai Shri Ram bhale hi mat bol lekin Bharat Mata ki Ja … https // t . co / X9U4xSOKY4,,
neutral,@ deevgrass _ They changed hair color ! Warna-warni pisan pasti kalo liat updatenya mereka,,
positive,@ gqindia @ Rakulpreet You look absolutely stunning in whatever attire you choose . It is a sheer reflection of your elegance .,,
neutral,Aao bahno ab chunaav k Baad kuch ghar grihasthi ki baat kar lekin 😁😁 Kya aapane ghar pe koi achaar banaya ?? Mai … https // t co / ua2fGSLaHX,,
positive,@ SrBachchan wow amitji kya baat kahi h aapne . I really admire u & u r truly an inspiring person to all .,,
negative,@ MamataOfficial @ AITCofficial Shame on you mamta aur kitne masoom logo ki hatyaaye karogi . Kanoon n sambidhan k … https // t . co / BvRoAQ6RcL,,
positive,So I'm gonna love you like I'm gonna lose you Let's Marvin Gaye and get it on,,
positive,I've never followed cricket before but this is a super cool analysis on the best player ( Kholi ) done by … https // t . co / DxoHUyxaVe,,
positive,RT @ RTL _ AdellHarris This is cute Shareef !!! I love it # RefuseToLose ☝🏽❤️🤓 https // t co / LvJxIoR2Hu,,
neutral,@ TheSamirAbbas @ TOIBhopalNews Kyun humlog ye Hindu aur Musalman ki rat laga kar jhagda karte hain . Main Hindu hun a … https // t . co / mWR1fKtnwH,,
negative,@ Crank _ that _ @ maheshtibrewal @ venkatvignu Chutiya h bhosdi k .. Maa k lode apni kahe jaa rha h .. Teri seli h tu to m … https // t . co / 7zP5gd837P,,
positive,yes ye yes yes ye sye s krystal new reality show,,
positive,@ AliHZaidiPTI @ SarfarazA _ 54 Talpalaz bhai bus performance nahe dena ground mai OK good shabash looking good .....,,
neutral,@ HardeepSPuri @ DoC _ GoI @ MoCA _ GoI @ MoHUA _ India Congratulations Janab @ HardeepSPuri sb its such a Joy to see you tak … https // t . co / SeK0RYfUwr,,
positive,@ jordan10RK Arrey baap re 😂 Koun hai yaar ?? Jo bhi hai bahot mast banda hai celebrity bana diya meko 😅 Love him 😘😘,,
positive,@ narendramodi 🦁🙏🏻 Respected Narendra modi ji Congratulations again modi Sharkar ✌🏻👏🏻👏🏻👏🏻,,
positive,@ PramodChturvedi @ asadowaisi Owaisi sahab mil ke modi ji se issues haal karne ki koshish kare .. Aap aachr insan lag … https // t . co / GzV5u5jTQb,,
positive,Happy 35th Birthday to the love of my life @ saudagar _ garam . As you are the greatest husband I wish for the best in … https // t . co / WvEaOw0K8L,,
neutral,RT @ sadafabaluch Mujhe Samajh Nahi Arha Ab Ye Chal Kia Raha Hy 🙄 @ SabaHyder1 Twitter Dekhne Ka Dil Nahi Kar Rha Ab 🙄,,
neutral,@ narendramodi Respected sir Atal Ji k character ek song m srk sir n kiya tha jagjit singh Ji k gaane m aapke biopic … https // t co / E8ORdqJBEq,,
negative,Thank god babes mahan nahi bani and biji bauji ko mana kr dia sath rehne ko . Because they are hypocrites 😏😕 Khuran … https // t . co / GPRxjHfWSR,,
neutral,@ ZeeNewsHindi @ MamataOfficial Ghamand ki parakashtha ! Tum janta ki naukar ho bhoolo mat Momina Begam . Jo janta sir … https // t . co / KvvBFgySUP,,
neutral,@ MLArajeshSP @ YunusSamajwadi @ yadavakhilesh Mayawati ne SP p . o . khatam kar diyaa,,
positive,Khair hogai Sarfaraz Jani !👍❤️ We still love You .❤️ No . 1 T20 Caption 🇵🇰❤️ # SarfarazAhmed   # WeHaveWeWill https // t . co / AjKZnxfrT8,,
negative,Tikki chaat or tamatar chaat ? — Thappad maar dungi bc dm me aaja wrna 😡😡😡😡😡 https // t . co / iRAGvj21SO,,
neutral,@ Bachakhanzada10 @ PDCMDOfficial @ Chib _ 34 Ham ko koi wazat nahi Deni Ham Be Pakistan es itny he mohabbat kartay hain … https // t co / r4ySQ3kYsP,,
negative,@ News18India jo islaam maante hai kuchh bhi ho malichh bahut hote hai wo kuchh bhi ho sakte hai manusya nahi ho sak … https // t . co / p5e9Cl7fAC,,
negative,@ Ravikan85627392 @ bsesdelhi Koi faida nahi bhaiya yeh chutiye automated message hi bhejte rahenge .,,
negative,@ abpnewstv Chunaw ke bad chanelo ki niti badalti hai ... negative mindset ka chanel hai ABP,,
neutral,Pyaar karna nahi Aata Tha aapne Sikha Diya ... Tadpe Na The aapne Tadpa Diya .. Udaas Rehne Lage Hein Ab ... Roye Na T … https // t . co / hQp3rvFYbx,,
positive,@ male _ bitch666 Isse to crush itna impress ho gayi hogi dekho kahin rishta to nahi bhijwa diya ghar !!!😂😂,,
neutral,RT @ PestoChampion Gajar   ka   halwa   is a wonderful vegetarian Indian Dessert combination of nuts milk sugar khoya and ghee with grated   ca …,,
negative,@ igot10on10 Arey tu chutiya hai gadhe . Pakistani ka Har officer kudte pe blazer pehenta hai chutiye ... imran khan k … https // t . co / AqIDSidcoh,,
negative,@ vikasbha Tum ek no ka Dalal Ho ... Sale chutiye Dalai karna hay Yo Jake BJP ke Talbe chat ... News channel main Hoke … https // t . co / JXr26EcsOf,,
positive,@ TamsJoo @ ABHcosmetics Oooo she ’ s pretty ! I ’ ve not tried any ABH yet .,,
positive,Istiyak idirisi my aap sab she gujaris karta hu ki my ik singer hu aur my new song kar na chata hu laykin mujh … https // t co / WVUyoYfQ5a,,
neutral,@ taha4u4ever @ shyamtsbhat @ VishweshwarBhat @ pcsarangi Yes sir Please God up the facts and show me ONE evidence ag … https // t . co / KVGCjVp0A0,,
negative,Abyssal Sire is kicking my ASS tonight FUCK,,
neutral,@ gelostt Is ak Bad Tum Ne Ajeeb Bewafai Wale Tweet Krne Hen 😒,,
positive,Kaash mein aisi shayari likhu Prabhu Shri Ram aapki yaad mein .. Aapki tasveer dikhai de Uske har alfaaz me ..... गर… https // t . co / v6qf1q7cm9,,
neutral,@ VANNILATAE @ confusedarmy _ @ kavyatrivedi9 BC YEH SAFEDI 24-27 PE CHILLA RAHE HAIN saala yeh temp . Is like jannat for us .....,,
positive,Original bhagwan hu yaar narayan Vishnu krishna jagatpita RAM parambrahm god allah jeses parampita sab mera hi naam … https // t co / Bw07CIQKws,,
negative,@ AcharyaPramodk Chor Kahinke # ExitPoll2019 ne EVM ke Bina hin Tumhari aukad Bata di Log tum jaise looteron ko vote … https // tco / p3GdIvaZox,,
neutral,@ chirayu _ 96 Padman bhi dekha hoga usme 2cr ki machine ko 20k me bana deta hai Mai nahi kahta ki # Sooryavanshi MI ty … https // t . co / ecwqlozHD9,,
negative,@ RanaAyyub 🙏🙏🙏🙏 Behn ji rehndo Hame hamare haal pe chod do Jinhe apne samaaj ki galtiya hi nhi dikhti Woh dusro k … https // t . co / g1tqgiJN7u,,
neutral,RT @ selvaraghavan Hi friends ! Here you go ! Hope you all enjoy it ! # NGK # NGKTrailer https // t . co / HwC17CL8aK https // t . co / mimgkxU6fe @ Sur …,,
positive,@ navsekera Swarnim itihaas banega . Bharat naye pankh le udega . Tez raftarnayi soch hai . har din ek nayi khoz hai .… https // t . co / 62Ryyc0wnr,,
neutral,@ anandk2012 @ RailwaySeva @ IRCTCofficial Jo tum online dekhte ho vahi ad mei dikhta hai Iss se jyada clear koi nahi … https // t co / YjAyLGgazb,,
positive,@ theskindoctor13 LW vale Itne Bade vale CC hain Chu $ iye Abhi soch rahe hain ki Inka time Aayega !,,
positive,Thanks @ ArvindKejriwal for your great prediction ... aapke muh me ghee ke laddu 💐 https // t . co / APXrXzSkxe,,
negative,@ RayeesVP2 Jaahil thinking Every voter voted for bjp is not godse bhakt netiher mindsick like u,,
positive,RT @ anujkumarurmali @ hardikpandya7 @ mipaltan Big hitter Har dikha de dusri team ko Har - dikh,,
neutral,# KareenaKapoorKhan - Our Bebo beauty Queen comes back with a Bang in her ' Dance India Dance ' Show as The Super Judg … https // t . co / LdqapAr8Fv,,
neutral,RT @ itsmerajiv _ 07 Kuch din to gujaro Gujarat main https // t . co / CFXaaQUxq8,,
neutral,RT @ Its _ Wrath _ Hi Ooooo i love this a lot ! Thanks @ Turly032 https // t . co / iBlciZNie2,,
neutral,@ ShabnamGulwazir Sirf resign nahi balky ye aor is ki sister article 62 63 par pura nahi utarti in ko jail jana hoga .. asli insaf hoga ..,,
neutral,@ SushmaSwaraj sushmaji hum aapke decison se bahot naraj he !!! Agar aapne @ sehat ko lekar kiya he to wish u a good healthy & long life,,
neutral,RT @ Aliya313 @ FATIMAM73301953 Of course ! always pray ! Thats the hope I have that Allah will grant me His precious Rehmat & Maghfirat beca …,,
negative,@ Itz _ aziz __ @ ansarraza16 Ramzaan me itni zalalat tujh jaise kanjer ko hi milti hai .,,
neutral,@ AbhaMis01036320 @ MANISHP12841995 Kaam me man laga beta chowkidar warna tjhse sasta chowkidar Modi le aonga or sala … https // t . co / U4agp5vbIA,,
neutral,@ kanhaiyakumar Chup se baith tere har tweet main sirf hate n crime h sirf batein and tweet karne se kuch nahi bad … https // t co / gFWKQHjNY9,,
positive,RT @ DrshishupalS @ DrKpRajak1 Chhidvada par hardik badhai or subhkamnaye Jarur aap jald se jald Atithi vidvano krapa drasti kare ek ye hi …,,
positive,@_ NKPENNING Thank you Nitish 😊 ekdum taaza click hai .. Very good morning ..🌺 Suraj ka tamtamaya chera dekh ke daudn … https // t . co / nP3jYxfWet,,
negative,Us gaandu k bachy ne pain killer di he nahi keh raha tha stomach ki waja se yeh sab hua bhenchod mera stomach theek hai,,
neutral,Mere bhai Zeeshan Yaseen ka likha aur mere Dost Ammar Ali Khan ki awaz mai gaya hua World Cup 2019 ka special Song !… https // t co / qj4ycjOjIY,,
negative,RT @ ibeingdevil Fokat ka samosa khaane & Fokat ki movie dekhne wale critics are tweeting about boycotting Salman Khan movies . Lol funny c …,,
positive,** Me on Date with crush ** Crush which is your favorite song ? Me bade aache lagte hai Cr … https // t . co / AYxYr5YAzU,,
positive,@ cheung _ chichi you are beautiful looking i want to friends ship with you my name raza bhatti from pakistan my whata … https // t . co / BD48xiVaAc,,
positive,RT @ SaschTang Selfie challenge number 5 I am so happy to see @ AM _ Hume Looking fantastic # CRAconnExionsARC https // t co / DZDCggyRCb,,
positive,RT @ sehrii _ says @ Bechariii janii thankuu sooo much for s / o love u pyari sisoo 😘😍😊❤❤,,
positive,@ 011696j I know it ’ s you Jennie ANYWAYS I WILL FIGHT EVERYONE WHO WILL AAY STH AGAINST YOU ! BBY LOVE U UWU,,
negative,@ saylismmm Chutiye tu to cute boliyo Hi mt Beizzati mt kr word ki 🙄,,
negative,@ Kashifncba @ TarekFatah To yr tum logg to bahut bade waly ho 😜😜 Tumhary yahi ke bande chila chila ke bol rahy he … https // t . co / haPVtjEm8Z,,
negative,RT @ KhattaMitha1 @ dr _ abhi _ voice @ BHARATBAG @ TajinderBagga @ MamataOfficial @ AmitShah @ DilipGhoshBJP Beta tera pappu mutra band hai to khij …,,
neutral,@ PranaykaNTRii @ AnilRavipudi ni stories direction ey worst anna Jabardasth ki stories rasko .,,
neutral,What can be worse ... Stone pelters Ye kuch nai krenge J & K Police Hume kuch krne nai dete Government Kuch to … https // t . co / JF7sK6SwkI,,
positive,@ RanaAyyub Why are trying this new game YOURS & TUKDA GANG ides of breaking india is all over ! Today india is united #### JAI HIND,,
neutral,Bahut Badhai ho https // t . co / xA7XTP7saR,,
positive,RT @ JunaidkhanREAL Good luck team Pakistan . Hopefully we can start off with a win inshallah . # PakvWI @ TheRealPCB # PakistanZindabad # Pakist …,,
neutral,@ PMOIndia PM modi g please sabse pehle aap India mein awara gomata ka kuch kijiye bahut bad condition in cows hungr … https // t co / 39056YcIpO,,
neutral,@ HamidMirPAK Tmhry lie to lanat ka lafz bhi km h tmhn to na shrm hai na gerat bs bkwas ati h,,
negative,RT @ ArvindK02696397 Sarkar ne aaj cabinet baithak me teacher bahali .. par koi nirnay nahi liya ... so sad,,
neutral,@ MaryamNSharif Fikkar naa karo ye jo ab chand patwari rah gai hai in ki nasal tumhari agly nasal ki ghulami kare gi … https // t . co / VpXFVNW1oM,,
neutral,@ khanumarfa Jo kisi ko jhuta bole smjh Jana wo sabse bada jhuta Yeh apki gawahi ne dikha dia Waise aapke articles … https // t . co / AT5IrxVZlr,,
negative,@ NiranjanTripa16 Congress ki haar ka sabse bada karn shirsh ke neta hain jo kursi se marte dum tak chipke rahna cha … https // t co / YtnGA2ilIP,,
negative,@ ZeeNewsHindi INKI AISHI KI TAISHI MARO SALE KHUDH KE BACCHE NAHI HAI KYA INKO SALOKO JUTO SE P … https // t co / 8czJfP9lEy,,
neutral,@ AajKamranKhan Judge pay reference krney jnab kal khan sb ko dra rahey they woh kion ?,,
neutral,@ TheAngryLord Highly irritaated lady she is . Isake maa baap ne iska naam mamta kyo rakha 🤔😠👿,,
negative,RT @ Rajeev _ Gopalan1 @ republic @ jumits So who is the CHOR ??? Ma beta beti damad sab CHOR hai desh nikalo inn logo ko,,
neutral,RT @ asadanmolkhan @ arnished @ ICC @ TheRealPCB @ SarfarazA _ 54 This is our national dress . We proud of our captain on wearing shalwar qamee …,,
positive,@ realpreityzinta U r natural beauty Ma'am Best actress Soldier Kya kahna awesome kal ho na ho Naina k khubsurat nainaa,,
positive,@ iqrarulhassan Me apki bat se agree bhi krta ho magar bhai meri nazar me ulama ki respect sub se ziyada,,
positive,@ KhanMubeenAhmad @ Mmohsinshahzad @ ZaidZamanHamid Sekh mujeeb nayla kadri jindawad Indian army jindawad jay hind 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,,
neutral,@ stylishsheik @ Suriya _ offl @ selvaraghavan Arey bhai movie dek khe mera dimak kachodhi huvva ...🤨,,
neutral,@ kuldeep22392246 @ Aleena31643238 @ Simmijag @ Sarthaki1 Once result is declared nothing gonna happen no one can change it aur av wahi Hoga,,
neutral,RT @ ghost _ spotter @ anikjaat8 Ye sirf pauranik kathaon mein payi jaati thi Vaastavikta se iska koi sambandh nahi hai,,
neutral,@ Dahiru16600517 @ bae _ swanxy @ abduldanga @ EisahKrash @ Bilkyysu Ha ha ha nayi shiru anan,,
positive,@ theskindoctor13 Happy Birthday Doctor sahab 💐 bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe 🎂,,
neutral,@ MamataOfficial jai shree RAM . Jai shree balaji ki . Jai shree Gurudev Bhagwan jagatguru Rambhdracharya me DURGARAM … https // t . co / KoUxJ5buBA,,
negative,@ Ibne _ Sena @ bprerna Freedom of speech hi problem hai . Pakistan Mai ye bolke dikha de koi - Pakistan Tere tukde Honge … https // t . co / uym8T9cbvZ,,
negative,@ Ayan66 _ Official Group Stage ki had tak toh sahi keh rha lekin agar knockout mai hua India se match toh 100% Pak jeete ga .,,
negative,@ Akkian _ Beast @ akshaykMartial @ SuperADianNitin Bc inke 5-6 fans hai woh bas @ ajaydevgn ki itni bhi aukad nahi ki u … https // t co / bh13p1QL5P,,
positive,@ Muhamma29204136 Khush fehmi Allah pak # IK ko ab Pakistan k lye hmesha PM banaiga .,,
neutral,@ RahulGandhi ji Aapka vikalp congress to kya is desh me nahi hai Main to kahunga universe me nahi hoga … https // t co / Hswe03Gwf7,,
neutral,@ Akf _ Kanha @ SKFforlife @ hkz1311 @ aamirspk2 @ Aamirs _ Batman @ Some1Dare @ AAMIRCRAZE Hum to nahi but tu zarur h bots .. Aayushman k fake ids 😂😂,,
positive,@ KosmoSkafander letterboxd jest super appka te ż mo ż na robi ć listy maj ą ś liczne plakaty i uk ł ad strony jest przyja ź niejszy ni ż na film ł bie,,
positive,RT @ robson _ rkn @ Tara _ Deshpande All varieties of Pakodas are great . But 2 which stand out are 1. Palak Patte Ke Pakodas are great but takes …,,
negative,@ aajtak Abhi BJP 18 MP se satisfied nahi hai abhi BJP ko Bengal ki govt bhi chahiye . Aur kuch nahi bus ye usi ki t … https // t . co / UvWY29NypX,,
neutral,3andha sabr w tolit bal w lazim a2ul heya enqaztni mn mo7awlat ent7ar kteer I became a better person for her W … https // t co / loHn11IV4O,,
neutral,RT @ UmarFof I don ’ t depend on people too much because I ’ m tired of being disappointed .,,
negative,@ RahulGandhi WADRAAAA NO TO BAS JAMEEN LI HAI--KISANO KO PAISA NAHI DIYA-AB JI NE FILM INDUSTRY NO 1 TAK PAHUNCHAYI … https // t co / U3zr9OCvJT,,
negative,@ Dr _ M _ Dutt @ sherryontopp Kutte ki tarah Bhonkte rahoge to yahi hogaa . sonch samjhkar comment Karen .,,
negative,@ Saru81589968 Frequently aisi tweets karna koi surgial strikes se kam nahi hai Mar Jaoge luteyens liberals aur Tukde gang 😂😂,,
negative,@ aajtak @ ArvindKejriwal @ PankajJainClick Sab nautanki h or kuch nahi is bar nahi jeet payega . itni grmai me light na … https // t . co / iMAjk7uzw8,,
positive,RT @ FarooqHareem Big day for # Pakistan today at the # CWC19 praying for the Team Green this Jumma tul Wida with the rest of the country ‼️…,,
neutral,Q ki Aap jaise reports REPORTER Rahe hi nahi BJP PRAWAQTA ban gaye hai pichale 7 saal me dekhiye Aap MIDIYA walo n … https // t co / 4ayPEORsOL,,
neutral,@ Being _ Shupriya @ Incognito _ River Mateey 😕 aapke ashirwad ss koii abaad nahi hoga barbaad hoga # radhemaa,,
neutral,@ kansari786631 Congress ko bhi soft hindutvva se hatkar Gandhi Nehru ki clear vichar dhara par aana CHAHIYE,,
negative,@ SRKxPREDATOR @ SRKian _ Baadshah @ BrijwaSRKman @ 5555Lucky @ shahrukhdevdas Tu nahi sudhrega bsdk,,
negative,It ’ s a byproduct of one of the worst aspects that Protestant theology has given us sola fida . You literally can th … https // t . co / 4S10JT5k03,,
neutral,@ Faerie _ ous Chlo sed na ho khud pehan lun ga,,
positive,@ narendramodi respect pm narendra modi ji hum bhut kush hai ki aap logsabha chonab me jeet gye congratulations sir … https // t . co / k42XJR028z,,
